Estado,Sector ,Tipo,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aguascalientes,Preescolar, TOTAL,"36,459","35,790","36,988","37,356","38,514","47,507","48,797","49,065","48,239","48,034","47,726","48,917","50,250","50,757","50,839","51,094","53,317","54,303","53,794","55,561","51,878","51,932","53,244","51,923","51,524"
Aguascalientes,Preescolar, P�BLICO,"31,553","30,776","32,296","32,777","33,439","41,569","43,234","42,990","42,180","41,922","41,751","42,949","44,079","44,357","44,315","44,267","46,102","45,884","45,122","46,580","45,558","44,678","45,183","43,798","43,262"
Aguascalientes,Preescolar, PRIVADO,"4,906","5,014","4,692","4,579","5,075","5,938","5,563","6,075","6,059","6,112","5,975","5,968","6,171","6,400","6,524","6,827","7,215","8,419","8,672","8,981","6,320","7,254","8,061","8,125","8,262"
Aguascalientes,Primaria  , TOTAL,"152,340","154,455","154,405","154,794","155,500","156,150","155,749","157,242","159,020","160,001","160,233","161,301","160,256","159,450","158,317","157,794","157,577","157,524","158,832","160,119","160,480","159,517","160,072","160,882","160,883"
Aguascalientes,Primaria, P�BLICO,"137,420","139,010","139,118","139,546","140,385","141,012","141,377","142,157","144,020","145,451","145,972","146,781","145,740","144,735","143,571","142,512","141,740","140,942","141,712","142,523","144,412","143,044","142,623","143,358","143,105"
Aguascalientes,Primaria, PRIVADO,"14,920","15,445","15,287","15,248","15,115","15,138","14,372","15,085","15,000","14,550","14,261","14,520","14,516","14,715","14,746","15,282","15,837","16,582","17,120","17,596","16,068","16,473","17,449","17,524","17,778"
Aguascalientes,Secundaria, TOTAL,"53,519","54,943","59,402","62,303","64,592","64,767","66,257","67,941","68,610","67,925","68,368","70,117","72,421","74,256","75,694","75,127","74,473","73,243","73,117","73,544","74,675","74,567","73,707","74,759","76,469"
Aguascalientes,Secundaria, P�BLICO,"49,294","50,659","54,915","57,799","60,081","60,189","61,518","62,996","63,685","63,140","63,478","65,245","67,155","68,699","69,866","69,111","68,248","66,651","66,148","66,356","67,887","67,766","66,716","67,342","68,725"
Aguascalientes,Secundaria, PRIVADO,"4,225","4,284","4,487","4,504","4,511","4,578","4,739","4,945","4,925","4,785","4,890","4,872","5,266","5,557","5,828","6,016","6,225","6,592","6,969","7,188","6,788","6,801","6,991","7,417","7,744"
Aguascalientes,Bachillerato, TOTAL,"26,607","28,013","29,125","29,952","30,971","33,382","34,853","36,631","37,302","39,060","40,129","41,261","42,356","51,654","54,277","57,446","58,388","58,198","58,726","58,670","56,488","55,219","56,726","57,807","57,682"
Aguascalientes,Bachillerato, P�BLICO,"18,362","19,257","20,181","21,128","22,007","23,778","25,030","26,276","26,509","27,739","28,593","29,857","31,861","37,752","40,825","43,874","45,680","45,643","46,364","47,163","47,188","46,244","47,520","48,307","48,191"
Aguascalientes,Bachillerato, PRIVADO,"8,245","8,756","8,944","8,824","8,964","9,604","9,823","10,355","10,793","11,321","11,536","11,404","10,495","13,902","13,452","13,572","12,708","12,555","12,362","11,507","9,300","8,975","9,206","9,500","9,491"
Baja California,Preescolar, TOTAL,"74,467","75,581","79,783","81,371","87,534","103,231","112,638","103,467","103,639","103,183","103,760","108,884","107,831","107,954","107,223","106,570","112,312","113,370","111,427","107,624","96,630","91,837","97,576","95,661","95,544"
Baja California,Preescolar, P�BLICO,"64,646","65,787","70,053","70,335","72,068","84,982","92,727","85,781","86,508","87,472","88,002","92,462","91,769","91,336","90,495","88,600","90,441","89,626","86,547","83,696","80,941","75,946","77,235","75,458","74,953"
Baja California,Preescolar, PRIVADO,"9,821","9,794","9,730","11,036","15,466","18,249","19,911","17,686","17,131","15,711","15,758","16,422","16,062","16,618","16,728","17,970","21,871","23,744","24,880","23,928","15,689","15,891","20,341","20,203","20,591"
Baja California,Primaria  , TOTAL,"349,798","358,359","366,533","372,084","376,994","382,695","388,056","408,909","414,131","408,642","404,354","404,566","403,020","388,670","387,720","385,387","388,336","389,237","389,460","390,222","384,953","380,539","379,695","379,660","376,581"
